ID,개설학과,교과목명,강의시간 (강의실),학년,이수 구분,학수번호,학점,이론 시간,실습 시간,분 반,담당교수,비고
1,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,중국의역사와문화,"목7,8,9(N204)",1,1전선,HAAA1112,3,3,0,1,김희신,
2,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,역사학의이해,"화6(R107)
 수7,8(R107)",1,1전선,HAAA9009,3,3,0,1,정다함,
3,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,한국고대사,"화3(N205)
 수1,2(N205)",2,1전선,HAAA6015,3,3,0,1,최희수,
4,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,"서양사사료강독과DB
 활용","화4,5,6(N205)",2,1전선,HAAA6019,3,2,1,1,류한수,
5,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,"서양사사료강독과DB
 활용","화7,8,9(N205)",2,1전선,HAAA6019,3,2,1,2,류한수,
6,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,근대중국과세계질서,"월7,8,9(N205)",2,1전선,HAAA9007,3,3,0,1,김희신,
7,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,인물로보는중국사,"월6(N205)
 수4,5(N205)",2,1전선,HAAA9233,3,3,0,1,김희신,
8,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,서양근대사,"금7,8,9(N205)",3,1전선,HAAA4201,3,3,0,1,류한수,
9,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,역사스토리텔링,"수7,8,9(N205)",3,1전선,HAFU0013,3,2,1,1,최희수,
10,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,한국근세사,"월4,5(R107)
 수6(R107)",3,1전심,HAAA0010,3,3,0,1,정다함,
11,인문사회과학대학 인문콘텐츠학부 역사콘텐츠전공,"영상역사학워크샵(캡
 스톤디자인)","금4,5,6(R107)",3,1전심,HAAA6008,3,1,2,1,김상헌,
