분야,동아리명,활동 목적,주요 활동
공연,그루빈187,흑인 음악에 대한 이해를 높이고 친목을 도모함,"흑인 음악 감상회, 자체 음원 제작, 뮤직비디오 촬영, 그래피티, 동아리 클럽 공연, 굿즈 제작"
공연,토네이도,춤 실력 향상과 다양한 학과 사람들과의 친목 도모,"정기 연습, 교내외 행사 참여, 커버 댄스 영상 제작, 엠티, 공연 봉사, 외부 공연"
공연,어우러짐흥,풍물을 통한 소속감 형성 및 자아정체성 찾기,"정기 연습, 축제 공연, 전라남도 고창 연수, 학교 교류"
공연,소리마을,대학 문화 창달 및 음악적 소양 향상,"축제 및 교내 행사 공연, 대학 밴드 연합, 일일호프, 정기공연, MT"
공연,얘놀,K-Pop의 글로벌 성공요인 분석 및 우수성 알리기,"K-Pop 관련 학술 논문 수집 및 분석, 정기 공연, 외부 음악 공연 참여"
공연,허밍,아카펠라를 통한 친목 도모 및 음악 활동,"교내외 공연, 정기공연, 공연 관람, 연합 행사 참여"
봉사,IEMU11,축구를 통한 사회적 가치 환원,"축구 활동, 비대면 스마트폰 교육, 카카오 같이 X 가치 홍보, 연탄 봉사"
봉사,굿네이버스 가온누리,아동 권리 인식 증진 및 안전한 환경 조성,"인형극, 아동권리 카드뉴스 제작, 아동 인권 멘토링, 캠페인 진행, 펀딩"
사회,상냥행,동물권 및 생태감수성 향상,"교내 길고양이 돌봄, 상냥이 TNR, 상냥이 치료 및 방사, 동물권 인식 개선 이벤트 및 카드뉴스 제작"
사회,상명또래상담,동아리 내외의 상담 활동을 통한 고민 해결,"심리상담 study, 동아리 내 상담 실습, 또래 내담자 모집 및 상담, 상담 태도에 대한 피드백 모임"
종교,CCC,영적 운동을 통한 그리스도 전도,"캠퍼스 학생채플, 성경공부, 일대일 멘토링, 수련회, 해외 비전트립"
종교,한국기독학생회IVF,그리스도 안에서 신앙과 가치관 형성,"LGM, DPM, 소그룹, 수련회, 공동체 훈련, MT"
체육,벅스,야구를 통한 친목 도모 및 스포츠 성취도 향상,"대학 아마추어 야구리그 참가, 정기 훈련 및 연습경기, 프로야구 경기 관람, MT"
체육,위너,농구 기술 향상 및 대회 준비,"기본기 훈련, 전술 훈련, 대회 및 교류전 참가"
체육,자하랑,검도를 통한 심신 단련 및 사회 기여,"검도 수련, 서울시 대학검도연맹전 및 서대문구 청장기 검도대회 출전, 친목도모"
취미,자하포토,사진 예술 창조 및 취미 공유,"정기출사, 번개출사, 정기 전시회, 간이전시회, 세미나, MT"
취미,맹가미,창작 콘텐츠 제작 및 공유,"월 과제, 동화제 참여 및 전시회 진행, 동아리 회지 제작"
학술,이니로,프로그래밍에 대한 관심 및 융합적 사고의 증진,"멘토링, 스터디, 프로젝트, 박람회, 기업탐방, 외부 강연, 졸업생 질의응답 등"
학술,에듀플릿,다양한 콘텐츠 제작 및 배포,"웹드라마, 토크쇼, 브이로그 제작, SNS 업로드, 협력 프로젝트"
학술,체인지,진정한 변화를 위한 마인드 메이킹 및 도전,"기상, 독서, 운동 챌린지, 독서챌린지 및 운동 챌린지 정기 모임, 코딩 및 컴활 챌린지, 소모임 및 비교과 활동 참여"
학술,HRC,로봇 관련 지식 및 경험의 증진,"국제 및 국내 로봇대회 참여, 로봇 관련 연구 및 프로젝트 진행"
학술,앤코마,애니메이션 제작 기술 및 표현력 습득,"애니메이션 제작 기법 스터디, 단편 애니메이션 제작, 산학 프로젝트 참여"
학술,상명대학교 멋쟁이사자처럼,IT 서비스 아이디어 실현 및 웹 개발 교육,"웹 서비스 개발, 강의 및 프로젝트 수행, 해커톤 및 아이디어톤 참여, 연합 해커톤 참여, 오리엔테이션 및 MT"
학술,SMUMC,앱 런칭 및 IT 관련 연합 활동 참여,"스터디(iOS, Android, Web, Spring, Node.js, Plan, Design), 해커톤 & 아이디어톤 참여, 앱/웹 개발 프로젝트 및 데모데이"
공연,발틱,어쿠스틱 음악의 보급 및 긍정적 영향의 전파,"어쿠스틱 발라드 장르의 음악 활동, 정기음감회, 정기공연, 스튜디오 촬영, 버스킹, 학술제 공연"
체육,테슬라,테니스를 통한 건강 증진 및 사회 활동 참여,"정기 연습, 타 대학과의 교류 경기, 전국 동아리 테니스 대회 참가, 소외 계층을 위한 테니스 강습회 개최"
체육,슴콕,배드민턴을 통한 실력 향상 및 사회적 교류 강화,"정기적인 배드민턴 경기 및 난타, '누리' 연합 이벤트 참여, 타 학교 배드민턴 동아리와의 교류전 및 대회 참가, '누리' 오픈 대학 배드민턴 승강전 참여"
