iD,시설명,위치,서비스 내용
1,보건건강관리센터,학생회관 3층,간호사 상담
2,우편취급국,학생회관 3층,우편 관련 업무
3,학생라운지,학생회관 1층,"학습 및 휴게공간, 취식 가능"
4,학생 세미나실,밀레니엄관 밀레꼴,"세미나 및 회의공간 제공, 학기 중 오전 9시~오후 10시 사용 가능, 사용 신청 필요, 1회 이용 시 2시간 초과 불가"
5,여학생 휴게실,학생회관 3층,"여학생들의 휴식공간, 학기 중 평일 오전 9시~오후 5시30분 이용 가능"
6,학생회관 2층,학생회관 2층,학습 및 휴게공간
7,인문사회과학대학관,1층 ~ 4층,학습 및 휴게공간
8,제1공학관 1층,제1공학관 1층,학습 및 휴게공간
9,경영경제대학관,"2층, 5층",학습 및 휴게공간
10,사범대학관,"1층, 지하1층",학습 및 휴게공간
11,미래백년관,"지하1층, 5층","학습 및 휴게공간, 식당"
12,학술정보관 1층,학술정보관 1층,학습 및 휴게공간
13,테니스장,미래백년관 뒤 테니스장,테니스 코트 대여
14,농구장,미래백년관 뒤 농구장,농구코트 대여
15,골프장,스포츠센터 옆 골프장,골프장 이용
16,공연장 (스뮤스퀘어),중앙교수회관 앞,공연 등
17,"구내,학생식당 (정오아카데미)",미래백년관 5층,"한식, 양식, 분식 등 이용시간: 11:00 ~ 13:30, 메뉴보기: https://www.smu.ac.kr/kor/life/restaurantView.do"
18,"구내,학생식당 (안다미로협동조합)",교수연구동 1층,"한식, 양식, 분식 등"
19,카페 (카페드림),중앙교수회관 1층,"커피, 베이커리 등"
20,카페 (블루포트),미래백년관 지하1층,"커피, 베이커리 등"
21,기념품점,학생회관 1층,대학 기념품 등
22,구두수선소,경영경제대학관 앞,구두수선 등
23,도서관,서울캠퍼스 도서관,"자료실: 학기 중 09:00 ~ 21:00, 방학 중 09:00 ~ 17:30; 일반열람실Ⅰ: 학기 중 06:00 ~ 23:00, 방학 중 휴실; 리딩라운지: 학기 중 06:00 ~ 24:00, 방학 중 06:00 ~ 24:00; 일반열람실Ⅱ: 학기 중 06:00 ~ 23:00, 방학 중 06:00 ~ 22:00"
24,주차장,"미래백년관, 자하관",주차 가능
25,메가MGC커피 서울상명대점,상명대학교 언덕길,"커피, 베이커리 등"
26,아마스빈 상명대점,상명대학교 언덕길,"커피, 베이커리 등"
27,빨간계단,상명대학교 언덕길,종합분식
28,윤가네,상명대학교 언덕길,종합분식
29,리또리또 상명대점,상명대학교 언덕길,"멕시코,남미음식"
30,멜팅그릴 상명대학교점,상명대학교 언덕길,햄버거
31,이디야커피 상명대점,상명대학교 언덕길,"커피, 베이커리 등"
32,함께식탁 본점,상명대학교 언덕길,돈가스
33,샌드앤닭,상명대학교 언덕길,"샌드위치, 닭강정"
34,달럽,상명대학교 언덕길,"카페,디저트"
35,프루티에,상명대학교 언덕길,"카페,디저트"
36,신전떡볶이 상명대점,상명대학교 언덕길,분식
37,청와설렁탕,상명대학교 언덕길,"곰탕,설렁탕"
38,팔선생,상명대학교 언덕길,중식당
39,파파존스 홍제상명대점,상명대학교 언덕길,피자
