상명대학교 캠퍼스 정보,,,
항목,설명,링크,
학사일정,상명대학교 학사일정 안내,학사일정,
수강신청,상명대학교 수강신청 페이지,수강신청,
캠퍼스 투어,상명대학교 캠퍼스 투어 신청,캠퍼스 투어 신청,
International Students,국제 학생 입학 정보,International Admission,
진로 취업 서비스,취업 정보 및 서비스 안내,취업 정보,
,,,
교통정보,,,
경로,설명,,
광화문/경복궁,세종로에서 독립문 방면으로 좌회전 → 경복궁역사거리에서 효자동 방면으로 우회전 후 자하문터널 방면으로 직진 → 자하문터널 통과 후 세검정삼거리에서 홍제동‧홍은사거리 방면 좌회전 → 40m 직진 후 상명대 방면으로 우회전 → 상명대학교,,
내부순환도로,홍제'에서 홍은사거리 방면으로 진출 → 홍은사거리 방면으로 직진 → 홍은사거리에서 북악터널 방면으로 직진 → 세검정삼거리에서 상명대 방면으로 좌회전 → 상명대학교,,
불광동/역촌동,불광역사거리에서 구기터널방면으로 직진 → 구기터널 통과 후 신영동삼거리 방면으로 직진 → 신영동삼거리에서 세검정 방면으로 우회전 → 세검정삼거리에서 상명대 방면으로 우회전 → 상명대학교,,
,,,
대중교통 노선 정보,,,
출발지,노선,도착지,특징
서울역,7016,상명대학교 정문,직행
강남역,3호선,경복궁역,환승 후 버스 이용
김포공항,5호선,광화문역,환승 후 버스 이용
,,,
수강신청 정보,,,
내용,설명,링크,
수강신청 로그인,상명대 수강신청 로그인 페이지,수강신청 로그인,
장바구니 수강신청,수강신청 전 장바구니 기능 설명,-https://www.smu.ac.kr/_attach/file/2019/01//QNZQWHCiVkxXYuPzirYs.pdf,
수강신청 학점,"수강신청 가능 최대, 최소 학점 안내",-,
수강신청 학점 제한,학사경고에 따른 수강신청 학점 제한 정보,-,
